emp_id,email,emp_name,designation
JMD001,harsha@jmangroup.com,Harsha,SOFTWARE_ENGINEER
JMD002,pardhu@jmangroup.com,pardhu,SR_SOFTWARE_ENGINEER
JMD003,akhil@jmangroup.com,Akhil,SOLUTION_ENABLER
JMD100,JMD100@jmangroup.com,Mattie Koepp,TECHNOLOGY_SOLUTION_ARCHITECT
JMD101,JMD101@jmangroup.com,Terry Fritsch,PRINCIPAL_SOLUTION_ARCHITECT
JMD102,JMD102@jmangroup.com,Matthew Altenwerth,SOFTWARE_ENGINEER
JMD103,JMD103@jmangroup.com,Tabitha McLaughlin,SR_SOFTWARE_ENGINEER
JMD104,JMD104@jmangroup.com,Morris Emmerich,SOLUTION_ENABLER
JMD105,JMD105@jmangroup.com,Geneva Gislason,SOLUTION_CONSULTANT
JMD106,JMD106@jmangroup.com,Rufus Jacobson-Beahan,TECHNOLOGY_SOLUTION_ARCHITECT
JMD107,JMD107@jmangroup.com,Melba Braun II,PRINCIPAL_SOLUTION_ARCHITECT
JMD108,JMD108@jmangroup.com,Alan Moore,SOFTWARE_ENGINEER
JMD109,JMD109@jmangroup.com,Yvonne Mueller MD,SR_SOFTWARE_ENGINEER
JMD110,JMD110@jmangroup.com,Mrs. Alexis Lueilwitz,SOLUTION_ENABLER
JMD111,JMD111@jmangroup.com,Jeremiah Funk Jr.,SOLUTION_CONSULTANT
JMD112,JMD112@jmangroup.com,Esther Becker II,TECHNOLOGY_SOLUTION_ARCHITECT
JMD113,JMD113@jmangroup.com,Dean Hills,PRINCIPAL_SOLUTION_ARCHITECT
JMD114,JMD114@jmangroup.com,Jesus Baumbach,SOFTWARE_ENGINEER
JMD115,JMD115@jmangroup.com,Nicole Kuhic-Douglas I,SR_SOFTWARE_ENGINEER
JMD116,JMD116@jmangroup.com,Adrian Lindgren,SOLUTION_ENABLER
JMD117,JMD117@jmangroup.com,Ira Kutch,SOLUTION_CONSULTANT
JMD118,JMD118@jmangroup.com,Opal Miller DVM,TECHNOLOGY_SOLUTION_ARCHITECT
JMD119,JMD119@jmangroup.com,Hattie Boyle,PRINCIPAL_SOLUTION_ARCHITECT
JMD120,JMD120@jmangroup.com,Hannah Larson PhD,SOFTWARE_ENGINEER
JMD121,JMD121@jmangroup.com,Mary Rutherford I,SR_SOFTWARE_ENGINEER
JMD122,JMD122@jmangroup.com,Dr. Darin Flatley,SOLUTION_ENABLER
JMD123,JMD123@jmangroup.com,Lloyd Howell,SOLUTION_CONSULTANT
JMD124,JMD124@jmangroup.com,Cassandra Hermiston,TECHNOLOGY_SOLUTION_ARCHITECT
JMD125,JMD125@jmangroup.com,Karl Sauer,PRINCIPAL_SOLUTION_ARCHITECT
JMD126,JMD126@jmangroup.com,Miss Carla Gibson,SOFTWARE_ENGINEER
JMD127,JMD127@jmangroup.com,Dr. Peter Thiel,SR_SOFTWARE_ENGINEER
JMD128,JMD128@jmangroup.com,Noel Harvey,SOLUTION_ENABLER
JMD129,JMD129@jmangroup.com,Dr. Antonio Waters,SOLUTION_CONSULTANT
JMD130,JMD130@jmangroup.com,Jo Wunsch,TECHNOLOGY_SOLUTION_ARCHITECT
JMD131,JMD131@jmangroup.com,Dr. Joan Carroll,PRINCIPAL_SOLUTION_ARCHITECT
JMD132,JMD132@jmangroup.com,Loretta Schmeler-Pollich,SOFTWARE_ENGINEER
JMD133,JMD133@jmangroup.com,Evan Marvin,SR_SOFTWARE_ENGINEER
JMD134,JMD134@jmangroup.com,Mack Vandervort,SOLUTION_ENABLER
JMD135,JMD135@jmangroup.com,George Bernhard Sr.,SOLUTION_CONSULTANT
JMD136,JMD136@jmangroup.com,Ella Padberg,TECHNOLOGY_SOLUTION_ARCHITECT
JMD137,JMD137@jmangroup.com,Brittany Heathcote,PRINCIPAL_SOLUTION_ARCHITECT
JMD138,JMD138@jmangroup.com,Inez Towne,SOFTWARE_ENGINEER
JMD139,JMD139@jmangroup.com,Lois Murray-Stanton,SR_SOFTWARE_ENGINEER
JMD140,JMD140@jmangroup.com,Beverly Hauck,SOLUTION_ENABLER
JMD141,JMD141@jmangroup.com,Sabrina Bednar,SOLUTION_CONSULTANT
JMD142,JMD142@jmangroup.com,Tracy Nader,TECHNOLOGY_SOLUTION_ARCHITECT
JMD143,JMD143@jmangroup.com,Theodore Dickens,PRINCIPAL_SOLUTION_ARCHITECT
JMD144,JMD144@jmangroup.com,Betty Koelpin,SOFTWARE_ENGINEER
